id,fname,lat,long,ename
12167236,گراب,,,
12167237,معمولان,,,
12167238,مؤمن آباد,,,
12167239,نور آباد,,,
12167240,ويسيان,,,
12167241,هفت چشمه,,,
12167242,اميركلا,,,
12167243,ايزدشهر,,,
12167244,آلاشت,,,
12167245,آمل,,,
12167246,بابل,,,
12167247,بابلسر,,,
12167248,بلده,,,
12167249,بهشهر,,,
12167250,بهنمير,,,
12167251,پل سفيد,,,
12167252,پول,,,
12167253,تنكابن,,,
12167254,جويبار,,,
12167255,چالوس,,,
12167256,چمستان,,,
12167257,خرم آباد,,,
12167258,خليل شهر,,,
12167259,خوش رودپي,,,
12167260,دابودشت,,,
12167261,رامسر,,,
12167262,رستمكلا,,,
12167263,رويان,,,
12167264,رينه,,,
12167265,زرگر محله,,,
12167266,زيرآب,,,
12167267,ساري,,,
12167268,سرخرود,,,
12167269,سلمان شهر,,,
12167270,سورك,,,
12167271,شيرگاه,,,
12167272,شيرود,,,
12167273,عباس آباد,,,
12167274,فريدونكنار,,,
12167275,فريم,,,
12167276,قائم شهر,,,
12167277,كتالم وسادات شهر,,,
12167278,كلارآباد,,,
12167279,كلاردشت,,,
12167280,كله بست,,,
12167281,كوهي خيل,,,
12167282,كياسر,,,
12167283,كياكلا,,,
12167284,گتاب,,,
12167285,گزنك,,,
12167286,گلوگاه,,,
12167287,محمود آباد,,,
12167288,مرزن آباد,,,
12167289,مرزيكلا,,,
12167290,نشتارود,,,
12167291,نكا,,,
12167292,نور,,,
12167293,نوشهر,,,
12167294,اراك,,,
12167295,آستانه,,,
12167296,آشتيان,,,
12167297,پرندك,,,
12167298,تفرش,,,
12167299,توره,,,
12167300,جاورسيان,,,
12167301,خشكرود,,,
12167302,خمين,,,
12167303,خنداب,,,
12167304,داودآباد,,,
12167305,دليجان,,,
12167306,رازقان,,,
12167307,زاويه,,,
12167308,ساروق,,,
12167309,ساوه,,,
12167310,سنجان,,,
12167311,شازند,,,
12167312,شهرجديدمهاجران,,,
12167313,غرق آباد,,,
12167314,فرمهين,,,
12167315,قورچي باشي,,,
12167316,كرهرود,,,
12167317,كميجان,,,
12167318,مأمونيه,,,
12167319,محلات,,,
12167320,ميلاجرد,,,
12167321,نراق,,,
12167322,نوبران,,,
12167323,نيمور,,,
12167324,هندودر,,,
12167325,ابوموسي,,,
12167326,بستك,,,
12167327,بندرجاسك,,,
12167328,بندرچارك,,,
12167329,بندرعباس,,,
12167330,بندرلنگه,,,
12167331,بيكاه,,,
12167332,پارسيان,,,
12167333,تخت,,,
12167334,جناح,,,
12167335,حاجي آباد,,,
12167336,خمير,,,
12167337,درگهان,,,
12167338,دهبارز,,,
12167339,رويدر,,,
12167340,زيارتعلي,,,
12167341,سردشت بشاگرد,,,
12167342,سرگز,,,
12167343,سندرك,,,
12167344,سوزا,,,
12167345,سيريك,,,
12167346,فارغان,,,
12167347,فين,,,
12167348,قشم,,,
12167349,قلعه قاضي,,,
12167350,كنگ,,,
12167351,كوشكنار,,,
12167352,كيش,,,
12167353,گوهران,,,
12167354,ميناب,,,
12167355,هرمز,,,
12167356,هشتبندي,,,
12167357,ازندريان,,,
12167358,اسدآباد,,,
